Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
252;6620;22.3797;5672.85347366333
253;6621;26.038;5695.23317337036
254;6622;21.1784;5721.27117347717
255;6623;21.2955;5742.44957351685
256;6624;22.3575;5763.74507331848
257;6625;19.2533;5786.10257339478
258;6626;22.9883;5805.35587310791
259;6627;19.2234;5828.3441734314
260;6628;20.2625;5847.56757354736
261;6629;20.8638;5867.8300743103
262;6630;25.8332;5888.69387435913
263;6631;20.6909;5914.52707481384
264;6632;20.6155;5935.21797561646
265;6633;23.1469;5955.83347511292
266;6634;21.0592;5978.98037528992
267;6635;24.5535;6000.03957557678
268;6636;20.6448;6024.59307479858
269;6637;21.5733;6045.23787498474
270;6638;19.4821;6066.8111743927
271;6639;19.2277;6086.29327392578
272;6640;19.2359;6105.52097320557
273;6641;21.4572;6124.75687408447
274;6642;22.0616;6146.21407318115
275;6643;20.9818;6168.2756729126
276;6644;19.1135;6189.25747299194
277;6645;23.4246;6208.37097358704
278;6646;20.3534;6231.79557418823
279;6647;19.0821;6252.14897346497
280;6648;18.1325;6271.23107337952
281;6649;20.5421;6289.36357307434
282;6650;20.5804;6309.90567207336
283;6651;20.5535;6330.48607254028
284;6652;19.7222;6351.03957176208
285;6653;19.3046;6370.76177215576
286;6654;18.455;6390.06637191772
287;6655;18.5609;6408.52137184143
288;6656;21.2848;6427.08227157593
289;6657;24.2181;6448.36707115173
290;6658;19.3655;6472.58517074585
291;6659;19.1448;6491.95067024231
292;6660;18.1374;6511.09547042847
293;6661;18.035;6529.23287010193
294;6662;18.1434;6547.26786994934
295;6663;18.4868;6565.4112701416
296;6664;18.7602;6583.89806938171
297;6665;19.0153;6602.6582698822
298;6666;29.4458;6621.67357063293
299;6667;0.5111;6651.11937141418
